State,District,Incumbent,Party,2012 PVI,2012 Obama (%),2012 Romney (%),2016 Trump (%),2016 Clinton (%),2020 Trump (%),2020 Biden (%)
California,34,"Becerra, Xavier ",D,D+28,83,14.14,11,84.0,16.9,80.8
California,35,"Negrete McLeod, Gloria ",D,D+10,67.38,30.56,27,68.0,32.6,65.1
California,36,"Ruiz, Raul ",D,R+3,50.7,47.5,43,52.0,42.3,55.9
California,37,"Bass, Karen R. ",D,D+33,84.9,12.7,10,86.0,13.8,84.3
California,38,"Sanchez, Linda T. ",D,D+9,64.9,32.97,27,67.0,32.3,65.6
California,39,"ROYCE, EDWARD R. ",R,R+7,47.1,50.75,43,51.0,44,54.1
California,40,"Roybal-Allard, Lucille ",D,D+25,81.5,16.5,13,82.0,20.6,77.1
California,41,"Takano, Mark ",D,D+3,61.5,36.3,33,61.0,36.1,61.7
California,42,"CALVERT, KEN ",R,R+12,41.4,56.53,53,41.0,52.7,45.4
California,43,"Waters, Maxine ",D,D+23,78,20.0,17,78.0,20.9,76.9
California,44,"Hahn, Janice ",D,D+29,84.7,13.6,12,83.0,19.2,78.4
California,45,"CAMPBELL, JOHN ",R,R+8,43,54.78,44,49.0,43.3,54.6
California,46,"Sanchez, Loretta ",D,D+3,61.4,36.18,28,66.0,33.8,64.1
California,47,"Lowenthal, Alan S. ",D,D+5,60,37.5,31,62.0,35.3,62.5
California,48,"ROHRABACHER, DANA ",R,R+8,43,54.7,46,48.0,48.3,49.7
California,49,"ISSA, DARRELL E. ",R,R+5,45.66,52.25,43,51.0,42.6,55.2
California,50,"HUNTER, DUNCAN D. ",R,R+14,37.56,60.4,55,40.0,52.7,45
California,51,"Vargas, Juan ",D,D+11,69.36,28.86,23,72.0,30.9,66.9
California,52,"Peters, Scott H. ",D,D+1,52.1,45.66,36,58.0,34.2,63.7
California,53,"Davis, Susan A. ",D,D+7,61.4,36.4,30,65.0,30.9,67
Colorado,1,"DeGette, Diana ",D,D+17,69,28.83,23,69.0,22.1,75.6
Colorado,2,"Polis, Jared ",D,D+8,57.92,39.51,35,56.0,33.6,63.7
Colorado,3,"TIPTON, SCOTT R. ",R,R+4,45.77,51.8,52,40.0,51.6,46.1
Colorado,4,"GARDNER, CORY ",R,R+12,39.22,58.5,57,34.0,56.6,40.8
Colorado,5,"LAMBORN, DOUG ",R,R+15,38.3,59.12,57,33.0,54.7,41.8
Colorado,6,"COFFMAN, MIKE ",R,R+1,51.56,46.5,41,50.0,39.3,58.2
Colorado,7,"Perlmutter, Ed ",D,D+3,56.09,41.26,40,52.0,37.1,60
Connecticut,1,"Larson, John B. ",D,D+12,63.3,35.6,36.32,59.4,35.3,63.3
Connecticut,2,"Courtney, Joe ",D,D+6,55.9,42.57,45.77,48.66,43.5,54.5
Connecticut,3,"DeLauro, Rosa L. ",D,D+9,62.6,36.3,40.38,55.88,38.8,59.9
Connecticut,4,"Himes, James A. ",D,D+5,55.07,44.02,36.56,59.57,34.5,64.2
Connecticut,5,"Esty, Elizabeth H. ",D,D+2,53.53,45.31,45.83,49.93,43.9,54.6
Delaware,1,"Carney, John C., Jr. ",D,D+7,58.61,39.98,41.72,53.09,39.77,58.74
Florida,1,"MILLER, JEFF ",R,R+21,30.18,68.66,68,28.0,65.9,32.4
Florida,2,"SOUTHERLAND, STEVE, II ",R,R+3,46.52,52.38,66,31.0,67,32
Florida,3,"YOHO, TED S. ",R,R+12,37.5,61.5,56,40.0,56,42.8
Florida,4,"CRENSHAW, ANDER ",R,R+19,35.45,63.62,62,34.0,59.9,38.9
Florida,5,"Brown, Corinne ",D,D+17,71.23,28.05,36,61.0,36.2,62.7
Florida,6,"DESANTIS, RON ",R,R+6,41.4,57.7,57,40.0,58.3,40.8
Florida,7,"MICA, JOHN L. ",R,R+5,47.1,51.81,44,51.0,44.2,54.6
Florida,8,"POSEY, BILL ",R,R+8,42.18,56.76,58,38.0,58.3,40.6
Florida,9,"Grayson, Alan ",D,D+4,61.94,37.21,42,55.0,46,52.9
Florida,10,"WEBSTER, DANIEL ",R,R+7,45.72,53.35,35,62.0,37,62
Florida,11,"NUGENT, RICHARD B. 'RICH' ",R,R+8,40.23,58.85,65,33.0,65.4,33.8
Florida,12,"BILIRAKIS, GUS MICHAEL ",R,R+6,44.77,54.04,57,39.0,57.9,41
Florida,13,"YOUNG, C. W. BILL ",R,R+1,50.12,48.65,46,50.0,47.4,51.5
Florida,14,"Castor, Kathy ",D,D+11,65.05,33.96,39,57.0,41.6,57.2
Florida,15,"ROSS, DENNIS ",R,R+8,45.58,53.33,53,43.0,53.7,45.2
Florida,16,"BUCHANAN, VERN ",R,R+5,44.9,54.22,54,43.0,53.6,45.5
Florida,17,"ROONEY, THOMAS J. ",R,R+10,41.2,57.88,62,35.0,63.3,35.9
Florida,18,"Murphy, Patrick ",D,R+1,47.56,51.72,53,44.0,53.9,45.5
Florida,19,"RADEL, TREY ",R,R+11,38.76,60.6,60,38.0,59.7,39.6
Florida,20,"Hastings, Alcee L. ",D,D+28,82.16,16.98,18,80.0,22.1,77.3
Florida,21,"Deutch, Theodore E. ",D,D+12,60.6,38.85,39,59.0,41.2,58.2
Florida,22,"Frankel, Lois ",D,D+5,54.38,44.93,41,57.0,42.3,57.2
Florida,23,"Wasserman Schultz, Debbie ",D,D+10,61.5,37.9,36,62.0,41.2,58.3
Florida,24,"Wilson, Frederica S. ",D,D+33,87.52,12.17,16,81.0,24,75.4
Florida,25,"DIAZ-BALART, MARIO ",R,R+8,48.7,50.8,50,48.0,61.2,38.2
Florida,26,"Garcia, Jose Antonio 'Joe' ",D,R+3,53.1,46.35,41,57.0,52.5,46.9
Florida,27,"ROS-LEHTINEN, ILEANA ",R,R+5,53.05,46.45,39,59.0,48.1,51.3
Georgia,1,"KINGSTON, JACK ",R,R+9,43,55.9,56,41.0,55.5,43.1
Georgia,2,"Bishop, Sanford D., Jr. ",D,D+4,58.6,40.8,43,55.0,43.4,55.7
Georgia,3,"WESTMORELAND, LYNN A. ",R,R+19,33,65.85,64,33.0,62.0,36.8
Georgia,4,"Johnson, Henry C. 'Hank', Jr. ",D,D+17,73.6,25.6,22,75.0,20.2,78.8
Georgia,5,"Lewis, John ",D,D+31,83.1,15.8,12,85.0,12.7,86.2
Georgia,6,"PRICE, TOM ",R,R+14,37.45,60.8,48,47.0,43.7,54.8
Georgia,7,"WOODALL, ROB ",R,R+16,38.32,60.23,51,45.0,46.1,52.4
Georgia,8,"SCOTT, AUSTIN ",R,R+15,37.48,61.63,63,34.0,62.0,37.0
Georgia,9,"COLLINS, DOUG ",R,R+27,20.5,78.14,78,19.0,76.4,22.4
Georgia,10,"BROUN, PAUL C. ",R,R+13,36.3,62.46,61,36.0,59.6,39.2
Georgia,11,"GINGREY, PHIL ",R,R+19,31.5,66.9,60,35.0,56.9,41.5
Georgia,12,"Barrow, John ",D,R+9,43.64,55.42,57,41.0,55.8,43.0
Georgia,13,"Scott, David ",D,D+10,69.24,29.97,27,71.0,23.4,75.6
Georgia,14,"GRAVES, THOMAS 'TOM' ",R,R+23,25.3,73.21,75,22.0,73.4,25.3
Hawaii,1,"Hanabusa, Colleen W. ",D,D+11,69.7,29.02,30.5,63.1,34.5,63.8
Hawaii,2,"Gabbard, Tulsi ",D,D+14,71.38,26.67,29.6,61.4,34.1,63.6
Idaho,1,"LABRADOR, RAUL R. ",R,R+18,32.19,64.91,63.7,25.4,67.1,30.1
Idaho,2,"SIMPSON, MICHAEL K. ",R,R+17,33.07,64.14,54.5,29.8,60.1,36.6
Illinois,1,"Rush, Bobby L. ",D,D+28,78.94,20.25,22,75.0,24.7,73.9
Illinois,2,"Jackson, Jesse L., Jr. ",D,D+27,80.7,18.53,19,79.0,21.2,77.5
Illinois,3,"Lipinski, Daniel William ",D,D+5,55.93,42.98,39,55.0,42.9,55.5
Illinois,4,"Gutierrez, Luis V. ",D,D+26,80.9,17.06,13,81.0,17.3,80.7
Illinois,5,"Quigley, Mike ",D,D+16,66,31.81,24,70.0,26,72.1
Illinois,6,"ROSKAM, PETER J. ",R,R+5,45.1,53.31,43,50.0,42.6,55.3
Illinois,7,"Davis, Danny K. ",D,D+37,87.22,11.79,9,87.0,12.1,86.3
Illinois,8,"Duckworth, Tammy ",D,D+6,57.39,40.94,36,58.0,39,59.2
Illinois,9,"Schakowsky, Janice D. ",D,D+15,65,33.29,25,69.0,27.4,71
Illinois,10,"Schneider, Bradley S. ",D,D+8,57.52,41.14,32,61.0,34,64.3
Illinois,11,"Foster, Bill ",D,D+6,57.82,40.64,35,58.0,36.2,61.9
Illinois,12,"Enyart, William L. ",D,D+2,49.74,48.13,55,40.0,56.1,41.9
Illinois,13,"DAVIS, RODNEY ",R,D+1,48.64,48.95,50,44.0,50.5,47
Illinois,14,"HULTGREN, RANDY M. ",R,R+6,44.18,54.2,48,45.0,47.8,50.2
Illinois,15,"SHIMKUS, JOHN M. ",R,R+11,34.06,63.94,71,24.0,72.2,25.9
Illinois,16,"KINZINGER, ADAM ",R,R+4,45.17,52.89,55,38.0,56.9,40.9
Illinois,17,"Bustos, Cheri ",D,D+6,57.58,40.64,47,47.0,49.7,48.1
Illinois,18,"SCHOCK, AARON ",R,R+10,37.4,60.66,60,33.0,61,36.8
Indiana,1,"Visclosky, Peter J. ",D,D+9,61.19,37.39,41,54.0,44.8,53.6
Indiana,2,"WALORSKI, JACKIE ",R,R+7,42.14,56.1,59,36.0,59.4,38.9
Indiana,3,"STUTZMAN, MARLIN A. ",R,R+13,35.7,62.54,65,30.0,63.9,34
Indiana,4,"ROKITA, THEODORE E. 'TODD' ",R,R+13,36.87,60.88,64,30.0,63.8,34
Indiana,5,"BROOKS, SUSAN W. ",R,R+11,40.7,57.5,53,41.0,50.1,47.9
Indiana,6,"MESSER, ALLEN LUCAS 'LUKE' ",R,R+12,37.28,60.43,68,27.0,68.8,29.1
Indiana,7,"Carson, Andre D. ",D,D+9,62.9,35.35,36,58.0,35.3,62.9
Indiana,8,"BUCSHON, LARRY D. ",R,R+8,39.61,58.37,64,31.0,65.1,33.1
Indiana,9,"YOUNG, TODD C. ",R,R+9,40.7,57.17,61,34.0,60.8,37.2
Iowa,1,"Braley, Bruce L. ",D,D+5,56.2,42.53,48,45.0,50.79,47.38
Iowa,2,"Loebsack, Dave ",D,D+4,55.78,42.74,49,44.0,51.10,47.10
Iowa,3,"LATHAM, TOM ",R,R+1,51.45,47.16,48,45.0,49.15,49.02
Iowa,4,"KING, STEVE ",R,R+4,45.26,53.42,60,33.0,62.68,35.73
Kansas,1,"HUELSKAMP, TIM ",R,R+22,27.64,70.1,69.29,24.32,69.7,28.1
Kansas,2,"JENKINS, LYNN ",R,R+7,42.23,55.4,55.8,37.4,56.3,41.3
Kansas,3,"YODER, KEVIN ",R,R+5,44.3,53.8,46.0,47.2,43.7,54.3
Kansas,4,"POMPEO, MIKE ",R,R+14,36.1,61.6,60.2,32.98,59.7,38
Kentucky,1,"WHITFIELD, EDWARD ",R,R+14,32.1,66.4,72,24.0,73.1,25.5
Kentucky,2,"GUTHRIE, S. BRETT ",R,R+15,35.15,63.28,68,28.0,67.6,30.6
Kentucky,3,"Yarmuth, John A. ",D,D+3,55.73,42.8,40,55.0,38.1,60.0
Kentucky,4,"MASSIE, THOMAS ",R,R+15,34.83,63.38,65,29.0,64.8,33.4
Kentucky,5,"ROGERS, HAROLD 'HAL' ",R,R+16,23.25,75.0,80,18.0,80.2,18.6
Kentucky,6,"BARR, GARLAND 'ANDY' ",R,R+7,42.16,55.8,55,39.0,53.6,44.5
Louisiana,1,"SCALISE, STEVE ",R,R+23,26.86,70.85,69,27.0,68,30.1
Louisiana,2,"Richmond, Cedric L. ",D,D+22,75.84,22.81,22,75.0,23,75.3
Louisiana,3,"BOUSTANY, CHARLES W., JR. ",R,R+15,32.26,66.1,67,29.0,68.1,30.2
Louisiana,4,"FLEMING, JOHN ",R,R+11,39.66,59.0,61,37.0,61.5,37
Louisiana,5,"ALEXANDER, RODNEY ",R,R+14,37.66,61.0,64,34.0,64.5,34.1
Louisiana,6,"CASSIDY, WILLIAM 'BILL' ",R,R+19,31.96,66.15,65,31.0,63.8,34.4
Maine,1,"Pingree, Chellie ",D,D+8,59.97,38.18,39.15,53.96,60.12,"266,376"
Maine,2,"Michaud, Michael H. ",D,D+3,52.94,44.38,51.26,40.97,44.83,"168,696"
Maryland,1,"HARRIS, ANDY ",R,R+14,37,60.0,60,35.0,58.8,39.1
Maryland,2,"Ruppersberger, C. A. 'Dutch' ",D,D+7,63,34.0,37,58.0,32.4,65.8
Maryland,3,"Sarbanes, John P. ",D,D+7,60,37.0,32,63.0,29.4,68.7
Maryland,4,"Edwards, Donna F. ",D,D+23,78,20.0,20,77.0,19.2,79.1
Maryland,5,"Hoyer, Steny H. ",D,D+11,66,32.0,31,65.0,29.7,68.6
Maryland,6,"Delaney, John K. ",D,D+2,55,42.0,40,55.0,37.5,60.6
Maryland,7,"Cummings, Elijah E. ",D,D+23,76,22.0,22,74.0,20,78.4
Maryland,8,"Van Hollen, Chris ",D,D+10,61,36.0,31,64.0,28.9,69
Massachusetts,1,"Neal, Richard E. ",D,D+13,63.96,34.27,36.5,57.2,36.9,61.1
Massachusetts,2,"McGovern, James P. ",D,D+10,58.7,39.18,36.8,56.2,36,61.8
Massachusetts,3,"Tsongas, Nicola S. 'Niki' ",D,D+8,56.91,41.41,35.4,58.2,34.6,63.4
Massachusetts,4,"Kennedy, Joseph P., III ",D,D+10,57.24,41.29,35.02,59.2,33.7,64.5
Massachusetts,5,"Markey, Edward J. ",D,D+16,65.19,33.13,25.7,69.3,23.9,74.5
Massachusetts,6,"Tierney, John F. ",D,D+7,54.74,43.89,38.2,56.1,35.6,62.6
Massachusetts,7,"Capuano, Michael E. ",D,D+30,82.46,15.64,11.9,84.1,13.3,85.3
Massachusetts,8,"Lynch, Stephen F. ",D,D+9,57.78,40.85,34.4,60.4,32.2,66.2
Massachusetts,9,"Keating, William Richard ",D,D+8,55.54,43.14,41.8,52.5,40.3,57.9
Michigan,1,"BENISHEK, DAN ",R,R+4,45,53.0,1st,58.0,57.9,40.6
Michigan,2,"HUIZENGA, BILL ",R,R+7,43,56.0,55,38.0,55,43.2
Michigan,3,"AMASH, JUSTIN ",R,R+5,46,53.0,52,42.0,50.7,47.4
Michigan,4,"CAMP, DAVE ",R,R+4,46,54.0,59,35.0,61.1,37.2
Michigan,5,"Kildee, Daniel T. ",D,D+10,61,38.0,45,50.0,47.1,51.4
Michigan,6,"UPTON, FRED ",R,R+1,49,50.0,51,43.0,51.3,46.8
Michigan,7,"WALBERG, TIM ",R,R+3,48,51.0,56,39.0,56.7,41.6
Michigan,8,"ROGERS, MIKE ",R,R+2,48,51.0,51,44.0,49.6,48.8
Michigan,9,"Levin, Sander M. ",D,D+5,57,42.0,44,51.0,42.7,55.9
Michigan,10,"MILLER, CANDICE S. ",R,R+5,44,55.0,64,32.0,64.2,34.4
Michigan,11,"BENTIVOLIO, KERRY L. ",R,R+4,47,52.0,49,45.0,47.1,51.6
Michigan,12,"Dingell, John D. ",D,D+14,66,33.0,34,61.0,34.4,64.2
Michigan,13,"Conyers, John, Jr. ",D,D+34,85,14.0,18,79.0,20,78.8
Michigan,14,"Peters, Gary C. ",D,D+27,81,18.0,18,79.0,19.6,79.5
Minnesota,1,"Walz, Timothy J. ",D,R+1,49.56,48.21,53,38.0,54,43.9
Minnesota,2,"KLINE, JOHN ",R,R+2,49.07,49.01,46,45.0,45.5,52.4
Minnesota,3,"PAULSEN, ERIK ",R,R+2,49.6,48.8,41,50.0,39.4,58.7
Minnesota,4,"McCollum, Betty ",D,D+11,62.48,35.5,30,61.0,30.5,67.6
Minnesota,5,"Ellison, Keith ",D,D+22,73.5,24.0,18,73.0,17.7,80.3
Minnesota,6,"BACHMANN, MICHELE ",R,R+8,41.54,56.49,59,33.0,58,38.8
Minnesota,7,"Peterson, Collin C. ",D,R+5,44.13,53.87,61,31.0,63.8,34.4
Minnesota,8,"Nolan, Richard M. ",D,D+3,51.7,46.22,54,38.0,56.3,41.7
Mississippi,1,"NUNNELEE, ALAN ",R,R+14,37,61.87,65,32.0,64.8,33.8
Mississippi,2,"Thompson, Bennie G. ",D,D+10,66.4,33.0,35,64.0,35.2,63.7
Mississippi,3,"HARPER, GREGG ",R,R+15,39.1,60.0,61,37.0,60.1,38.6
Mississippi,4,"PALAZZO, STEVEN M. ",R,R+20,31.24,67.6,69,28.0,68.3,30.3
Missouri,1,"Clay, Wm. Lacy ",D,D+27,79.87,18.9,19,77.0,18.1,80.3
Missouri,2,"WAGNER, ANN ",R,R+7,41.44,57.14,53,42.0,49.18,49.16
Missouri,3,"LUETKEMEYER, BLAINE ",R,R+9,36,62.0,67,28.0,66.9,31.3
Missouri,4,"HARTZLER, VICKY ",R,R+11,36.41,61.24,65,29.0,66,31.9
Missouri,5,"Cleaver, Emanuel, II ",D,D+10,58.9,39.36,40,55.0,39.6,58.4
Missouri,6,"GRAVES, SAM ",R,R+9,37.9,60.0,63,31.0,63.3,35
Missouri,7,"LONG, BILLY ",R,R+17,30.34,67.56,70,25.0,70,28.1
Missouri,8,"EMERSON, JO ANN ",R,R+13,32,65.88,75,21.0,77.3,21.4
Montana,1,"DAINES, STEVE ",R,R+7,41.7,55.35,56.17,35.25,,
Nebraska,1,"FORTENBERRY, JEFF ",R,R+11,40.83,57.43,56,36.0,"180,290",56.01
Nebraska,2,"TERRY, LEE ",R,R+6,45.7,52.85,47,45.0,"154,377",45.45
Nebraska,3,"SMITH, ADRIAN ",R,R+23,27.82,70.23,74,20.0,"222,179",75.36
Nevada,1,"Titus, Dina ",D,D+11,65.64,32.4,32.63,61.63,36.4,61.5
Nevada,2,"AMODEI, MARK E. ",R,R+5,44.82,52.88,52.03,39.67,53.6,43.6
Nevada,3,"HECK, JOSEPH J. ",R,EVEN,49.53,48.73,47.55,46.55,49,49.2
Nevada,4,"Horsford, Steven A. ",D,D+2,54.43,43.71,44.55,49.5,47,50.9
New Hampshire,1,"Shea-Porter, Carol ",D,EVEN,50.21,48.6,48.19,46.6,46.2,52.2
New Hampshire,2,"Kuster, Ann McLane ",D,D+3,54.16,44.51,46.22,48.62,44.8,53.5
New Jersey,1,"Andrews, Robert E. ",D,D+12,65,34.0,36.1,60.6,36.6,62.1
New Jersey,2,"LOBIONDO, FRANK A. ",R,EVEN,54,45.0,50.6,46.0,50.8,47.9
New Jersey,3,"RUNYAN, JON ",R,R+2,52,47.0,51.4,45.2,49.4,49.2
New Jersey,4,"SMITH, CHRISTOPHER H. ",R,R+7,45,54.0,55.8,41.0,54.6,44.1
New Jersey,5,"GARRETT, SCOTT ",R,R+4,5th,49.0,48.8,47.7,46.7,51.9
New Jersey,6,"Pallone, Frank, Jr. ",D,D+6,61,37.0,40.6,56.2,41.5,57.2
New Jersey,7,"LANCE, LEONARD ",R,R+6,46,53.0,47.5,48.6,44.3,54.2
New Jersey,8,"Sires, Albio ",D,D+20,78,21.0,21.5,75.7,27.2,71.8
New Jersey,9,"Pascrell, Bill, Jr. ",D,D+11,68,31.0,33.1,64.3,36.8,62.2
New Jersey,10,"Payne, Donald M., Jr. ",D,D+31,88,12.0,12.8,85.2,15.0,84.2
New Jersey,11,"FRELINGHUYSEN, RODNEY P. ",R,R+5,47,52.0,48.8,47.9,46.0,52.7
New Jersey,12,"Holt, Rush ",D,D+12,67,32.0,31.8,65.0,31.4,67.3
New Mexico,1,"Lujan Grisham, Michelle ",D,D+5,55.25,39.6,35,52.0,37.4,60.2
New Mexico,2,"PEARCE, STEVAN ",R,R+6,44.9,51.72,50,40.0,54.9,43.1
New Mexico,3,"Lujan, Ben Ray ",D,D+7,57.52,38.67,37,52.0,40.1,57.7
New York,1,"Bishop, Timothy H. ",D,EVEN,49.62,49.08,54,42.0,51.5,47.3
New York,2,"KING, PETER T. ",R,R+1,51.65,47.23,53,44.0,51.4,47.4
New York,3,"Israel, Steve J. ",D,D+3,50.76,48.21,45,51.0,44.3,54.7
New York,4,"McCarthy, Carolyn ",D,D+4,56.31,42.76,43,53.0,43.4,55.6
New York,5,"Meeks, Gregory W. ",D,D+33,90.6,9.1,13,85.0,16.2,83.3
New York,6,"Meng, Grace ",D,D+12,67.8,31.05,32,65.0,37.4,61.8
New York,7,"Velazquez, Nydia M. ",D,D+31,88.35,10.34,10,86.0,17.3,81.9
New York,8,"Jeffries, Hakeem S. ",D,D+33,89.26,10.14,13,84.0,16.5,82.9
New York,9,"Clarke, Yvette D. ",D,D+31,85.28,13.84,14,83.0,17.8,81.4
New York,10,"Nadler, Jerrold L. ",D,D+24,73.64,25.0,19,78.0,22.9,76.1
New York,11,"GRIMM, MICHAEL G. ",R,R+4,51.6,47.32,53,44.0,54.8,44.3
New York,12,"Maloney, Carolyn B. ",D,D+28,76.92,21.51,13,82.0,14.8,84.1
New York,13,"Rangel, Charles B. ",D,D+41,94.64,4.56,5,92.0,11.1,88.2
New York,14,"Crowley, Joseph ",D,D+23,80.67,18.27,22,77.0,25.9,73.7
New York,15,"Serrano, Jose E. ",D,D+41,96.75,3.0,5,94.0,13.0,86.4
New York,16,"Engel, Eliot L. ",D,D+19,73.69,25.53,22,75.0,23.8,75.3
New York,17,"Lowey, Nita M. ",D,D+5,57.07,41.84,38,58.0,39.4,59.6
New York,18,"Maloney, Sean Patrick ",D,R+2,51.43,47.15,49,47.0,46.8,51.8
New York,19,"GIBSON, CHRISTOPHER P. ",R,EVEN,52.12,45.85,51,44.0,48.3,49.8
New York,20,"Tonko, Paul D. ",D,D+7,59.2,38.8,40,53.0,38.7,59.3
New York,21,"Owens, William L. 'Bill' ",D,R+2,52.24,46.07,53,39.0,54.2,43.8
New York,22,"HANNA, RICHARD L. ",R,R+3,48.76,49.24,54,39.0,54.7,43.2
New York,23,"REED, THOMAS W. 'TOM', II ",R,R+3,48.38,49.59,54,39.0,54.5,43.3
New York,24,"Maffei, Daniel B. ",D,D+3,57,41.1,45,49.0,44.4,53.4
New York,25,"Slaughter, Louise McIntosh ",D,D+5,58.77,39.41,39,55.0,37.8,60.1
New York,26,"Higgins, Brian ",D,D+13,63.94,34.31,38,58.0,35.6,62.6
New York,27,"COLLINS, CHRIS ",R,R+7,42.89,55.29,59,35.0,56.8,41.1
North Carolina,1,"Butterfield, G. K. ",D,D+17,71.60,27.88,30,67.0,45.3,53.9
North Carolina,2,"ELLMERS, RENEE L. ",R,R+11,41.71,57.26,54,42.0,34,64.3
North Carolina,3,"JONES, WALTER B. ",R,R+10,41.01,57.99,60,36.0,60.9,37.7
