"GEO_ID","NAME","P1_001N","P1_002N","P1_003N","P1_004N","P1_005N","P1_006N","P1_007N","P1_008N","P1_009N","P1_010N","P1_011N","P1_012N","P1_013N","P1_014N","P1_015N","P1_016N","P1_017N","P1_018N","P1_019N","P1_020N","P1_021N","P1_022N","P1_023N","P1_024N","P1_025N","P1_026N","P1_027N","P1_028N","P1_029N","P1_030N","P1_031N","P1_032N","P1_033N","P1_034N","P1_035N","P1_036N","P1_037N","P1_038N","P1_039N","P1_040N","P1_041N","P1_042N","P1_043N","P1_044N","P1_045N","P1_046N","P1_047N","P1_048N","P1_049N","P1_050N","P1_051N","P1_052N","P1_053N","P1_054N","P1_055N","P1_056N","P1_057N","P1_058N","P1_059N","P1_060N","P1_061N","P1_062N","P1_063N","P1_064N","P1_065N","P1_066N","P1_067N","P1_068N","P1_069N","P1_070N","P1_071N",
"7000000US12001000010","201-Archer Voting District 1, Alachua County, Florida","3152","2845","1878","823","9","46","3","86","307","286","65","51","33","0","116","4","1","0","13","0","0","0","2","1","0","18","7","0","0","1","1","0","4","1","2","1","1","0","0","0","0","0","0","0","0","0","3","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US12001000011","301-Gainesville Voting District 1, Alachua County, Florida","2817","2571","2280","125","6","122","0","38","246","239","20","34","33","0","143","1","0","0","8","0","0","0","0","0","0","6","3","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US12001000012","302-Gainesville Voting District 2, Alachua County, Florida","1059","991","844","120","2","12","1","12","68","61","17","10","10","0","23","0","0","0","1","0","0","0","0","0","0","7","2","1","0","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US12001000013","303-Gainesville Voting District 3, Alachua County, Florida","37","33","28","3","0","2","0","0","4","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US12001000014","304-Gainesville Voting District 4, Alachua County, Florida","1416","1284","1065","89","6","99","1","24","132","126","15","14","23","0","69","0","1","0","2","0","0","1","0","1","0","6","2","0","0","1","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US12001000015","305-Gainesville Voting District 5, Alachua County, Florida","4301","3802","3016","313","20","357","5","91","499","459","59","47","59","0","280","0","4","0","8","0","0","0","0","0","2","37","4","9","0","9","0","0","11","0","4","0","0","0","0","0","0","0","0","0","0","0","3","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US12001000016","306-Gainesville Voting District 6, Alachua County, Florida","5016","4567","3298","540","5","610","2","112","449","416","53","30","54","2","268","0","1","0","5","0","0","0","0","2","1","26","2","4","0","9","0","0","10","0","1","0","0","0","0","0","0","0","0","0","0","0","5","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","1","0","0","0","0",
"7000000US12001000017","307-Gainesville Voting District 7, Alachua County, Florida","4063","3643","2670","340","15","487","7","124","420","400","35","46","49","3","256","0","1","0","7","0","0","0","0","3","0","18","3","2","0","5","0","1","4","0","3","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US12001000018","308-Gainesville Voting District 8, Alachua County, Florida","5311","4654","3638","139","5","758","0","114","657","617","23","56","114","5","400","1","2","1","2","0","0","1","7","5","0","35","6","4","0","2","0","2","7","3","9","0","0","0","0","0","1","0","1","0","0","0","5","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US12001000019","309-Gainesville Voting District 9, Alachua County, Florida","5184","4658","1816","2281","12","301","4","244","526","486","102","36","13","4","253","17","7","0","40","0","0","4","0","10","0","29","7","2","0","8","2","0","6","1","2","0","1","0","0","0","0","0","0","0","0","0","8","0","1","3","0","2","0","0","1","0","0","0","0","0","0","1","3","0","2","0","1","0","0","0","0",
"7000000US12001000020","310-Gainesville Voting District 10, Alachua County, Florida","3697","3264","2445","214","8","527","0","70","433","396","40","44","79","1","221","2","0","1","5","0","0","1","1","1","0","31","8","5","0","4","0","0","3","5","1","0","0","0","3","2","0","0","0","0","0","0","5","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0",
"7000000US12001000021","311-Gainesville Voting District 11, Alachua County, Florida","3021","2756","2451","79","7","177","0","42","265","261","15","24","34","3","180","1","2","0","2","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US12001000022","312-Gainesville Voting District 12, Alachua County, Florida","4086","3666","2772","316","5","458","0","115","420","368","34","20","53","3","240","3","2","0","9","0","1","2","0","1","0","44","7","5","0","4","9","0","14","0","5","0","0","0","0","0","0","0","0","0","0","0","8","0","0","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US12001000023","313-Gainesville Voting District 13, Alachua County, Florida","4184","3979","761","3135","12","21","0","50","205","183","71","13","7","3","50","9","2","0","27","0","0","0","0","1","0","20","12","0","0","3","0","0","4","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US12001000024","314-Gainesville Voting District 14, Alachua County, Florida","5964","5153","2686","1545","24","377","4","517","811","752","139","84","52","0","417","9","11","2","33","0","0","5","0","0","0","48","10","6","0","14","3","1","8","1","0","0","2","2","1","0","0","0","0","0","0","0","11","0","1","5","0","4","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",
"7000000US12001000025","315-Gainesville Voting District 15, Alachua County, Florida","1831","1691","1393","146","2","103","0","47","140","132","8","23","20","0","78","0","3","0","0","0","0","0","0","0","0","6","0","2","0","1","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0",
"7000000US12001000026","316-Gainesville Voting District 16, Alachua County, Florida","2538","2299","700","1435","7","38","1","118","239","219","47","38","18","2","94","3","2","0","13","1","0","0","0","1","0","19","14","1","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US12001000027","317-Gainesville Voting District 17, Alachua County, Florida","7062","6318","3319","1481","34","1157","0","327","744","686","73","43","67","2","434","9","7","0","43","0","0","4","0","2","2","54","11","2","0","18","2","1","3","5","11","0","0","0","1","0","0","0","0","0","0","0","4","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US12001000028","318-Gainesville Voting District 18, Alachua County, Florida","7173","6279","3584","1313","30","779","5","568","894","800","91","46","128","0","468","16","4","0","45","0","0","1","0","1","0","94","2","5","0","34","1","0","7","0","43","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US12001000029","319-Gainesville Voting District 19, Alachua County, Florida","9906","9453","7751","512","5","928","1","256","453","437","50","49","100","0","223","3","1","1","6","0","1","2","0","1","0","13","2","1","0","1","0","0","4","0","1","0","4","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0",
"7000000US12001000030","320-Gainesville Voting District 20, Alachua County, Florida","3314","2969","2073","355","9","395","1","136","345","320","28","30","46","0","191","6","3","0","10","0","0","0","4","2","0","22","1","2","0","5","0","1","6","0","7","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0",
"7000000US12001000031","321-Gainesville Voting District 21, Alachua County, Florida","12984","11600","8176","1899","51","1042","2","430","1384","1311","116","79","202","8","833","10","7","5","36","0","1","4","1","5","4","63","13","7","0","12","3","0","8","3","8","0","3","1","2","2","0","0","0","0","0","1","5","1","0","0","2","1","0","0","0","0","0","0","0","0","0","1","3","0","3","0","0","0","0","2","2",
"7000000US12001000032","322-Gainesville Voting District 22, Alachua County, Florida","4846","4600","1573","2885","11","14","0","117","246","217","80","32","9","2","68","7","3","1","14","1","0","0","0","0","0","21","6","1","0","7","0","0","6","0","1","0","0","0","0","0","0","0","0","0","0","0","6","0","0","3","0","0","0","0","2","0","0","1","0","0","0","0","1","1","0","0","0","0","0","1","1",
"7000000US12001000033","323-Gainesville Voting District 23, Alachua County, Florida","7342","6545","4492","866","20","895","4","268","797","765","108","84","71","9","476","1","5","0","10","0","0","0","0","0","1","29","2","7","0","9","0","0","9","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0",
"7000000US12001000034","324-Gainesville Voting District 24, Alachua County, Florida","5290","4703","2667","1709","13","135","0","179","587","545","91","43","54","0","308","11","10","1","23","0","0","1","0","3","0","41","4","5","0","10","4","0","6","4","5","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US12001000035","325-Gainesville Voting District 25, Alachua County, Florida","6743","5980","2787","2568","25","211","5","384","763","714","142","93","54","0","352","13","12","2","38","0","0","2","0","6","0","45","18","3","0","17","2","0","3","0","1","0","0","0","1","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","1",
"7000000US12001000036","326-Gainesville Voting District 26, Alachua County, Florida","2274","2035","1038","837","15","57","2","86","239","213","20","27","39","1","102","10","3","0","7","0","0","3","0","1","0","25","5","2","0","8","0","0","8","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US12001000037","327-Gainesville Voting District 27, Alachua County, Florida","5459","5270","1123","3883","4","33","2","225","189","168","80","18","4","3","32","9","1","0","20","0","0","1","0","0","0","20","15","3","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US12001000038","328-Gainesville Voting District 28, Alachua County, Florida","7203","6490","5197","486","16","624","1","166","713","684","82","102","106","0","348","9","7","1","16","1","0","2","3","7","0","26","8","0","0","7","3","0","2","1","2","0","1","0","0","1","1","0","0","0","0","0","2","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0",
"7000000US12001000039","329-Gainesville Voting District 29, Alachua County, Florida","3941","3491","2801","242","4","359","5","80","450","422","24","46","65","2","263","0","0","2","5","0","0","2","0","13","0","28","9","0","0","4","3","0","4","1","6","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US12001000040","330-Gainesville Voting District 30, Alachua County, Florida","5025","4421","3367","516","17","296","6","219","604","581","79","33","61","0","363","11","8","1","19","0","0","0","5","0","1","20","2","1","0","8","1","0","7","0","1","0","0","0","0","0","0","0","0","0","0","0","3","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US12001000041","331-Gainesville Voting District 31, Alachua County, Florida","4393","3998","2804","821","10","211","3","149","395","369","76","34","41","0","190","0","5","0","18","0","0","0","0","5","0","21","7","1","0","7","4","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","4","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0",
"7000000US12001000042","332-Gainesville Voting District 32, Alachua County, Florida","3042","2699","2292","228","1","118","1","59","343","308","25","20","33","2","210","3","4","0","7","0","0","0","0","4","0","24","5","2","0","7","1","0","4","0","5","0","0","0","0","0","0","0","0","0","0","0","11","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US12001000043","333-Gainesville Voting District 33, Alachua County, Florida","2550","2292","2008","129","9","85","2","59","258","243","38","34","21","1","136","0","1","0","10","0","0","0","0","2","0","14","2","0","0","1","1","0","6","0","4","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US12001000044","334-Gainesville Voting District 34, Alachua County, Florida","2537","2323","2087","128","5","68","0","35","214","203","11","38","33","6","109","0","1","0","1","3","0","0","1","0","0","8","0","1","0","3","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","3","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US12001000045","335-Gainesville Voting District 35, Alachua County, Florida","2888","2612","1993","300","12","231","3","73","276","261","32","18","48","0","139","3","1","0","13","0","0","3","0","4","0","14","3","3","0","0","0","0","5","0","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US12001000046","336-Gainesville Voting District 36, Alachua County, Florida","3968","3495","2413","638","8","315","1","120","473","445","42","19","65","3","300","2","0","1","13","0","0","0","0","0","0","26","6","6","0","8","0","0","5","0","1","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US12001000047","337-Gainesville Voting District 37, Alachua County, Florida","5574","4950","4377","138","0","288","1","146","624","575","42","37","87","3","385","1","5","3","8","0","0","0","1","3","0","46","20","6","0","5","0","0","5","1","8","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","1","0","0","0",
"7000000US12001000048","338-Gainesville Voting District 38, Alachua County, Florida","2040","1882","1712","44","1","83","0","42","158","146","17","19","17","0","86","2","3","0","1","0","0","0","0","1","0","10","4","0","0","1","0","0","3","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US12001000049","339-Gainesville Voting District 39, Alachua County, Florida","3521","3175","2322","682","11","76","1","83","346","325","54","49","27","1","178","4","0","0","9","0","0","1","0","2","0","21","1","4","0","12","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US12001000050","340-Gainesville Voting District 40, Alachua County, Florida","4592","4284","1069","2957","16","118","0","124","308","271","95","30","11","0","97","18","0","0","16","1","0","1","2","0","0","31","20","1","0","3","0","1","0","2","3","0","0","0","1","0","0","0","0","0","0","0","6","1","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US12001000051","341-Gainesville Voting District 41, Alachua County, Florida","4335","3849","2729","709","13","220","1","177","486","456","83","54","37","2","257","3","8","0","10","0","0","2","0","0","0","26","8","5","0","1","1","0","6","1","2","0","0","0","2","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0",
"7000000US12001000052","342-Gainesville Voting District 42, Alachua County, Florida","2038","1869","1662","93","6","69","1","38","169","163","18","3","29","0","109","0","1","0","0","2","0","1","0","0","0","5","0","0","0","1","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US12001000053","343-Gainesville Voting District 43, Alachua County, Florida","4009","3535","2789","459","8","151","0","128","474","431","71","48","75","2","218","2","1","0","12","0","0","2","0","0","0","35","11","5","0","12","0","0","5","1","0","0","0","0","1","0","0","0","0","0","0","0","6","2","0","4","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0",
"7000000US12001000054","344-Gainesville Voting District 44, Alachua County, Florida","3784","3338","2263","591","8","340","0","136","446","394","63","36","44","4","221","0","6","0","14","0","0","4","0","2","0","42","12","5","0","9","0","0","3","7","6","0","0","0","0","0","0","0","0","0","0","0","10","0","0","8","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
